,k,alfa,acc,fscore
0,3.0,5.0,0.7264714481254101,0.7237628971043738
1,3.0,6.0,0.751557177962729,0.749649008973611
2,3.0,7.0,0.7682714171723624,0.7666347422248316
3,3.0,8.0,0.7826428649514767,0.7813111783075489
4,3.0,9.0,0.796800013546183,0.7957050636994639
5,3.0,10.0,0.8078000262175656,0.8069081522042453
6,3.0,11.0,0.8151286111278747,0.8141203876043454
7,3.0,12.0,0.8187286233790004,0.8177135858106541
8,3.0,13.0,0.8235286356320852,0.8225743486120702
9,3.0,14.0,0.8272143621690651,0.8262350580321399
10,4.0,5.0,0.733800007320699,0.7305173824308748
11,4.0,6.0,0.7583857379735516,0.7552514545736241
12,4.0,7.0,0.7763285171842926,0.773495406313657
13,4.0,8.0,0.7900285408808067,0.7876115923346964
14,4.0,9.0,0.8028428731479559,0.8006719830212045
15,4.0,10.0,0.8119143364290643,0.8099066112629093
16,4.0,11.0,0.8175571633761897,0.81541592564129
17,4.0,12.0,0.8231286152226858,0.8209761902257472
18,4.0,13.0,0.8266571629828724,0.8245380923544734
19,4.0,14.0,0.8294571589056946,0.8272407726332247
20,5.0,5.0,0.7401571644743438,0.7378061543459769
21,5.0,6.0,0.7660857653338434,0.7641084151839045
22,5.0,7.0,0.7813428286217855,0.7796914767989441
23,5.0,8.0,0.7940142453768299,0.7926374368730854
24,5.0,9.0,0.8078286041769823,0.8066251743914431
25,5.0,10.0,0.8149571531675716,0.81380327931113
26,5.0,11.0,0.8218571421581142,0.8206593629897472
27,5.0,12.0,0.826514340534651,0.8251837866451441
28,5.0,13.0,0.8300428833967385,0.8287310261842102
29,5.0,14.0,0.8320571666652633,0.8308253496124459
30,6.0,5.0,0.7426142542727576,0.7398072952539304
31,6.0,6.0,0.7694857037049805,0.7670567262159459
32,6.0,7.0,0.7832999327055058,0.7810345999026373
33,6.0,8.0,0.7959999629311857,0.7940559221872251
34,6.0,9.0,0.8095571347908833,0.8077571032436733
35,6.0,10.0,0.8170857384775659,0.8154896466390191
36,6.0,11.0,0.8229285731803415,0.8211246437678805
37,6.0,12.0,0.8278143719662429,0.8259222794171118
38,6.0,13.0,0.8316571915632808,0.8298322260231402
39,6.0,14.0,0.8338000058512692,0.8320030108102107
40,7.0,5.0,0.7467000061172359,0.7447073725304675
41,7.0,6.0,0.7721142820768173,0.7704445123486932
42,7.0,7.0,0.7852999637300656,0.7839561067927691
43,7.0,8.0,0.7966142580344977,0.7954772194657517
44,7.0,9.0,0.8103999788735189,0.8093106799224575
45,7.0,10.0,0.817928585009251,0.8170002411098799
46,7.0,11.0,0.8246571748166799,0.8235351430242487
47,7.0,12.0,0.8281857421692632,0.8269224451706673
48,7.0,13.0,0.8330857417690885,0.8318884489091726
49,7.0,14.0,0.8347857495271876,0.8335960121011778
50,8.0,5.0,0.7475857355068687,0.7452059866236421
51,8.0,6.0,0.7733000041197912,0.7710949861472144
52,8.0,7.0,0.7859570706688879,0.7839205785245885
53,8.0,8.0,0.7966713576251915,0.7949018195820984
54,8.0,9.0,0.810728554384376,0.809085067918791
55,8.0,10.0,0.8182857250097523,0.8169089528423061
56,8.0,11.0,0.8251285837964817,0.8235049209613291
57,8.0,12.0,0.8296857360490884,0.8279419164294826
58,8.0,13.0,0.8342285748314908,0.8324878059154784
59,8.0,14.0,0.8360000054466862,0.8343147086003592
60,9.0,5.0,0.7504857212254811,0.7486490076903687
61,9.0,6.0,0.7740285755495521,0.7723595834746181
62,9.0,7.0,0.7869570874056926,0.7855282139184574
63,9.0,8.0,0.7978428249751509,0.7966006400646796
64,9.0,9.0,0.8105428184650872,0.809353138621887
65,9.0,10.0,0.8190142805206913,0.8180926052306609
66,9.0,11.0,0.8254856907348139,0.8243686954420477
67,9.0,12.0,0.8300714442128084,0.8287535494430142
68,9.0,13.0,0.833442864626243,0.832222375723191
69,9.0,14.0,0.8351857393234675,0.8339239983132031
0,8.0,15.0,0.8391999642262432,0.8376126087587892
1,8.0,16.0,0.841571407087666,0.8399759517404576
2,8.0,17.0,0.8447714148482143,0.8432505242610068
3,8.0,18.0,0.8482857066908617,0.8468186642944197
4,8.0,19.0,0.8485571397526576,0.8471046998238446
5,9.0,15.0,0.838571413205392,0.8373718671912224
6,9.0,16.0,0.8406714303521675,0.8395411000870708
7,9.0,17.0,0.8443999760718061,0.8433212137382986
8,9.0,18.0,0.8476428838336489,0.846586213382697
9,9.0,19.0,0.8483000275082145,0.84723992298432
10,10.0,15.0,0.839971376880109,0.8384627425918304
11,10.0,16.0,0.8415713985159926,0.8401566891650748
12,10.0,17.0,0.844742839337847,0.8433509775136366
13,10.0,18.0,0.8487857205696256,0.8474486786075369
14,10.0,19.0,0.8487999838343137,0.8474625699639099
15,11.0,15.0,0.8391428474922024,0.8378828498444463
16,11.0,16.0,0.8404714360662898,0.8393063012153266
17,11.0,17.0,0.8435428589282843,0.8424681316943091
18,11.0,18.0,0.8465285601572755,0.8454225505156039
19,11.0,19.0,0.8471999977096489,0.8460852994120814
20,12.0,15.0,0.8392428176955958,0.837801171637305
21,12.0,16.0,0.8408428283107563,0.8393996300298574
22,12.0,17.0,0.843371429132051,0.8420041283145275
23,12.0,18.0,0.8463428585246809,0.8449412010806013
24,12.0,19.0,0.8469857291383601,0.8456692337362002
0,8.0,25.0,0.8545999834356083,0.8530793208658554
1,8.0,30.0,0.8564571332347569,0.8550001371549824
2,8.0,35.0,0.8587999883405649,0.8574448176931679
3,9.0,25.0,0.8541857230274918,0.8531581662952258
4,9.0,30.0,0.8558856756819758,0.8548455635319749
5,9.0,35.0,0.8579285724211362,0.8569779015512418
